
*** Beginn AuditLog: Sat Oct 05 13:35:51 CEST 2019 ***

*** Beginn AuditLog: Sat Oct 05 13:37:56 CEST 2019 ***

*** Beginn AuditLog: Sat Oct 05 13:39:33 CEST 2019 ***

*** Beginn AuditLog: Sat Oct 05 13:40:05 CEST 2019 ***

*** Beginn AuditLog: Sat Oct 05 13:40:25 CEST 2019 ***

*** Beginn AuditLog: Sat Oct 05 13:40:40 CEST 2019 ***

*** Beginn AuditLog: Sat Oct 05 13:50:08 CEST 2019 ***
     47 | Sat Oct 05 13:54:03 CEST 2019 | Login  | Client-Thread-38 | Client-Client-Thread-38 | null
     48 | Sat Oct 05 13:54:03 CEST 2019 | Login  | Client-Thread-39 | Client-Client-Thread-39 | null
     49 | Sat Oct 05 13:54:03 CEST 2019 | Login  | Client-Thread-40 | Client-Client-Thread-40 | null
     50 | Sat Oct 05 13:54:03 CEST 2019 | Login  | Client-Thread-41 | Client-Client-Thread-41 | null
     51 | Sat Oct 05 13:54:03 CEST 2019 | Login  | Client-Thread-42 | Client-Client-Thread-42 | null
     52 | Sat Oct 05 13:54:03 CEST 2019 | Login  | Client-Thread-43 | Client-Client-Thread-43 | null
     53 | Sat Oct 05 13:54:03 CEST 2019 | Login  | Client-Thread-44 | Client-Client-Thread-44 | null
     54 | Sat Oct 05 13:54:03 CEST 2019 | Login  | Client-Thread-45 | Client-Client-Thread-45 | null
     55 | Sat Oct 05 13:54:03 CEST 2019 | Login  | Client-Thread-46 | Client-Client-Thread-46 | null
     56 | Sat Oct 05 13:54:03 CEST 2019 | Login  | Client-Thread-47 | Client-Client-Thread-47 | null
     57 | Sat Oct 05 13:54:03 CEST 2019 | Login  | Client-Thread-48 | Client-Client-Thread-48 | null
     58 | Sat Oct 05 13:54:03 CEST 2019 | Login  | Client-Thread-49 | Client-Client-Thread-49 | null
     59 | Sat Oct 05 13:54:03 CEST 2019 | Login  | Client-Thread-50 | Client-Client-Thread-50 | null
     60 | Sat Oct 05 13:54:03 CEST 2019 | Login  | Client-Thread-51 | Client-Client-Thread-51 | null
     61 | Sat Oct 05 13:54:03 CEST 2019 | Login  | Client-Thread-52 | Client-Client-Thread-52 | null
     62 | Sat Oct 05 13:54:03 CEST 2019 | Login  | Client-Thread-53 | Client-Client-Thread-53 | null
     63 | Sat Oct 05 13:54:03 CEST 2019 | Login  | Client-Thread-54 | Client-Client-Thread-54 | null
     64 | Sat Oct 05 13:54:03 CEST 2019 | Login  | Client-Thread-55 | Client-Client-Thread-55 | null
     65 | Sat Oct 05 13:54:03 CEST 2019 | Login  | Client-Thread-56 | Client-Client-Thread-56 | null
     66 | Sat Oct 05 13:54:03 CEST 2019 | Login  | Client-Thread-57 | Client-Client-Thread-57 | null
     67 | Sat Oct 05 13:54:03 CEST 2019 | Login  | Client-Thread-58 | Client-Client-Thread-58 | null
     68 | Sat Oct 05 13:54:03 CEST 2019 | Login  | Client-Thread-59 | Client-Client-Thread-59 | null
     69 | Sat Oct 05 13:54:03 CEST 2019 | Login  | Client-Thread-60 | Client-Client-Thread-60 | null
     70 | Sat Oct 05 13:54:03 CEST 2019 | Login  | Client-Thread-61 | Client-Client-Thread-61 | null
     71 | Sat Oct 05 13:54:03 CEST 2019 | Login  | Client-Thread-62 | Client-Client-Thread-62 | null
     72 | Sat Oct 05 13:54:03 CEST 2019 | Login  | Client-Thread-63 | Client-Client-Thread-63 | null
     73 | Sat Oct 05 13:54:03 CEST 2019 | Login  | Client-Thread-64 | Client-Client-Thread-64 | null
     74 | Sat Oct 05 13:54:03 CEST 2019 | Login  | Client-Thread-65 | Client-Client-Thread-65 | null
     75 | Sat Oct 05 13:54:03 CEST 2019 | Login  | Client-Thread-66 | Client-Client-Thread-66 | null
     76 | Sat Oct 05 13:54:03 CEST 2019 | Login  | Client-Thread-67 | Client-Client-Thread-67 | null
     77 | Sat Oct 05 13:54:03 CEST 2019 | Login  | Client-Thread-68 | Client-Client-Thread-68 | null
     78 | Sat Oct 05 13:54:03 CEST 2019 | Login  | Client-Thread-69 | Client-Client-Thread-69 | null
     79 | Sat Oct 05 13:54:03 CEST 2019 | Login  | Client-Thread-70 | Client-Client-Thread-70 | null
     80 | Sat Oct 05 13:54:03 CEST 2019 | Login  | Client-Thread-71 | Client-Client-Thread-71 | null
     81 | Sat Oct 05 13:54:03 CEST 2019 | Login  | Client-Thread-72 | Client-Client-Thread-72 | null
     82 | Sat Oct 05 13:54:03 CEST 2019 | Login  | Client-Thread-73 | Client-Client-Thread-73 | null
     83 | Sat Oct 05 13:54:03 CEST 2019 | Login  | Client-Thread-74 | Client-Client-Thread-74 | null
     84 | Sat Oct 05 13:54:03 CEST 2019 | Login  | Client-Thread-75 | Client-Client-Thread-75 | null
     85 | Sat Oct 05 13:54:03 CEST 2019 | Login  | Client-Thread-76 | Client-Client-Thread-76 | null
     86 | Sat Oct 05 13:54:03 CEST 2019 | Login  | Client-Thread-77 | Client-Client-Thread-77 | null
     87 | Sat Oct 05 13:54:03 CEST 2019 | Login  | Client-Thread-78 | Client-Client-Thread-78 | null
     88 | Sat Oct 05 13:54:03 CEST 2019 | Login  | Client-Thread-79 | Client-Client-Thread-79 | null
     89 | Sat Oct 05 13:54:03 CEST 2019 | Login  | Client-Thread-80 | Client-Client-Thread-80 | null
     90 | Sat Oct 05 13:54:03 CEST 2019 | Login  | Client-Thread-81 | Client-Client-Thread-81 | null
     91 | Sat Oct 05 13:54:03 CEST 2019 | Login  | Client-Thread-82 | Client-Client-Thread-82 | null
     92 | Sat Oct 05 13:54:03 CEST 2019 | Login  | Client-Thread-83 | Client-Client-Thread-83 | null
     93 | Sat Oct 05 13:54:03 CEST 2019 | Login  | Client-Thread-84 | Client-Client-Thread-84 | null
     94 | Sat Oct 05 13:54:03 CEST 2019 | Login  | Client-Thread-85 | Client-Client-Thread-85 | null
     95 | Sat Oct 05 13:54:03 CEST 2019 | Login  | Client-Thread-86 | Client-Client-Thread-86 | null
     96 | Sat Oct 05 13:54:03 CEST 2019 | Login  | Client-Thread-87 | Client-Client-Thread-87 | null
     97 | Sat Oct 05 13:54:03 CEST 2019 | Login  | Client-Thread-88 | Client-Client-Thread-88 | null
     98 | Sat Oct 05 13:54:03 CEST 2019 | Login  | Client-Thread-89 | Client-Client-Thread-89 | null
     99 | Sat Oct 05 13:54:03 CEST 2019 | Login  | Client-Thread-90 | Client-Client-Thread-90 | null
    100 | Sat Oct 05 13:54:03 CEST 2019 | Login  | Client-Thread-91 | Client-Client-Thread-91 | null
